,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_bin,param_max_depth,param_min_child_samples,param_min_child_weight,param_n_estimators,param_num_leaves,param_reg_alpha,param_reg_lambda,param_scale_pos_weight,param_subsample,param_subsample_freq,params
42,-0.0029721397492318263,-0.003094309346657068,-0.003024714449556971,-0.0029806338297744743,-0.0028628137935102936,-0.0029869219589838633,7.565805010831383e-05,1,0.3474261283874512,0.016010369970111515,0.04320540428161621,0.0004447973357112653,0.5621448337189706,0.09944918257432214,66,30,48,9.588373789699332,30,188,0.0033188245182602487,34.03304661273069,0.01615167514748709,0.13273015330163557,4,"{'colsample_bytree': 0.5621448337189706, 'learning_rate': 0.09944918257432214, 'max_bin': 66, 'max_depth': 30, 'min_child_samples': 48, 'min_child_weight': 9.588373789699332, 'n_estimators': 30, 'num_leaves': 188, 'reg_alpha': 0.0033188245182602487, 'reg_lambda': 34.03304661273069, 'scale_pos_weight': 0.01615167514748709, 'subsample': 0.13273015330163557, 'subsample_freq': 4}"
43,-0.004347134240859249,-0.004423515361202429,-0.004398905728552855,-0.004284864239596795,-0.004115887001601497,-0.00431406192908955,0.00010990640372682704,1,1.2398996829986573,0.05118123854070893,0.04092154502868652,0.0013005377723520248,0.5189477548252032,0.0015267338000336365,474,39,5,8.952778131183079,24,187,0.0784889513273165,0.0003799234100928279,0.04137377156273894,0.8583129186577381,5,"{'colsample_bytree': 0.5189477548252032, 'learning_rate': 0.0015267338000336365, 'max_bin': 474, 'max_depth': 39, 'min_child_samples': 5, 'min_child_weight': 8.952778131183079, 'n_estimators': 24, 'num_leaves': 187, 'reg_alpha': 0.0784889513273165, 'reg_lambda': 0.0003799234100928279, 'scale_pos_weight': 0.04137377156273894, 'subsample': 0.8583129186577381, 'subsample_freq': 5}"
44,-0.0030512701207705854,-0.0031447558112021766,-0.0030892286917316627,-0.0030347036490017917,-0.0029235149630667304,-0.0030486946950249567,7.313356815054956e-05,1,0.35558247566223145,0.01054717301621086,0.04073915481567383,0.0055490987118306705,0.7401977349581415,0.07132997828110159,451,6,2,8.51819052727462,23,18,0.00012477316219287085,1.2617176330594293,0.4489203760378491,0.22786752716935535,1,"{'colsample_bytree': 0.7401977349581415, 'learning_rate': 0.07132997828110159, 'max_bin': 451, 'max_depth': 6, 'min_child_samples': 2, 'min_child_weight': 8.51819052727462, 'n_estimators': 23, 'num_leaves': 18, 'reg_alpha': 0.00012477316219287085, 'reg_lambda': 1.2617176330594293, 'scale_pos_weight': 0.4489203760378491, 'subsample': 0.22786752716935535, 'subsample_freq': 1}"
45,-0.0033770421151564744,-0.0034479572721125436,-0.003409557972656409,-0.0033472527543637848,-0.0032015186126686784,-0.0033566661241274712,8.450507571463834e-05,1,4.758057260513306,0.04611249159931016,0.05743494033813477,0.0011067603239473256,0.8685384005641603,0.006951008959633119,457,35,5,1.1910926342201769,92,193,0.6253489675545778,0.00011171290568768666,0.011405821945896288,0.832151815287775,1,"{'colsample_bytree': 0.8685384005641603, 'learning_rate': 0.006951008959633119, 'max_bin': 457, 'max_depth': 35, 'min_child_samples': 5, 'min_child_weight': 1.1910926342201769, 'n_estimators': 92, 'num_leaves': 193, 'reg_alpha': 0.6253489675545778, 'reg_lambda': 0.00011171290568768666, 'scale_pos_weight': 0.011405821945896288, 'subsample': 0.832151815287775, 'subsample_freq': 1}"
46,-0.004319095884892836,-0.004395457018993701,-0.004367994461914388,-0.004256897673011382,-0.004088648807965877,-0.004285619391595289,0.00010917140342989415,1,0.30495338439941405,0.017041390970415925,0.0385685920715332,0.0006327826648494148,0.846203989689317,0.0018365856701687568,27,5,25,8.61920430367063,29,180,0.7336727724541973,0.03444813583283031,188.04900565276728,0.13035952511344306,2,"{'colsample_bytree': 0.846203989689317, 'learning_rate': 0.0018365856701687568, 'max_bin': 27, 'max_depth': 5, 'min_child_samples': 25, 'min_child_weight': 8.61920430367063, 'n_estimators': 29, 'num_leaves': 180, 'reg_alpha': 0.7336727724541973, 'reg_lambda': 0.03444813583283031, 'scale_pos_weight': 188.04900565276728, 'subsample': 0.13035952511344306, 'subsample_freq': 2}"
47,-0.002892550959012588,-0.003016382388259617,-0.0029637500631051,-0.0029608754273099972,-0.002838161671973821,-0.0029343433251224453,6.212315588732315e-05,1,4.177455997467041,0.1030959395821342,0.09065217971801758,0.004163898163327665,0.9,0.1,500,40,50,0.0001,100,200,0.0001,0.0001,0.01,0.95,1,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_bin': 500, 'max_depth': 40, 'min_child_samples': 50, 'min_child_weight': 0.0001, 'n_estimators': 100, 'num_leaves': 200, 'reg_alpha': 0.0001, 'reg_lambda': 0.0001, 'scale_pos_weight': 0.01, 'subsample': 0.95, 'subsample_freq': 1}"
48,-0.004366998328446063,-0.0044459971412152315,-0.004419457512678022,-0.004304275919897005,-0.004135158192264132,-0.004334378025225429,0.00011077460672545526,1,0.4345396518707275,0.017244747667904424,0.03776960372924805,0.0008079336005811084,0.8361529064276672,0.0012072828207665975,37,4,5,1.3742641074999116,28,197,0.6788074736547547,29.401012835853756,300.7873775177688,0.8456147010540686,5,"{'colsample_bytree': 0.8361529064276672, 'learning_rate': 0.0012072828207665975, 'max_bin': 37, 'max_depth': 4, 'min_child_samples': 5, 'min_child_weight': 1.3742641074999116, 'n_estimators': 28, 'num_leaves': 197, 'reg_alpha': 0.6788074736547547, 'reg_lambda': 29.401012835853756, 'scale_pos_weight': 300.7873775177688, 'subsample': 0.8456147010540686, 'subsample_freq': 5}"
49,-0.0031838283469770574,-0.0032789019405338724,-0.003249985821970398,-0.003199669268790373,-0.003086045342688947,-0.0031996858494430136,6.628803324081142e-05,1,0.4228424072265625,0.017622812893801614,0.0426274299621582,0.000749111336405134,0.9,0.1,25,40,1,0.0001,20,200,0.0001,0.0001,0.01,0.1,1,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_bin': 25, 'max_depth': 40, 'min_child_samples': 1, 'min_child_weight': 0.0001, 'n_estimators': 20, 'num_leaves': 200, 'reg_alpha': 0.0001, 'reg_lambda': 0.0001, 'scale_pos_weight': 0.01, 'subsample': 0.1, 'subsample_freq': 1}"
50,-0.0029177823401898475,-0.003037097434160994,-0.0029852978351232336,-0.0029551334866596032,-0.0028283640670480137,-0.0029447345316662367,7.007502039192954e-05,1,0.5224431037902832,0.020267381001428535,0.04743237495422363,0.0006984804608293356,0.9,0.1,500,40,50,10.0,100,10,1.0,200.0,499.99999999999994,0.1,1,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_bin': 500, 'max_depth': 40, 'min_child_samples': 50, 'min_child_weight': 10.0, 'n_estimators': 100, 'num_leaves': 10, 'reg_alpha': 1.0, 'reg_lambda': 200.0, 'scale_pos_weight': 499.99999999999994, 'subsample': 0.1, 'subsample_freq': 1}"
51,-0.003076793540682877,-0.0031912384404878835,-0.003137858089385311,-0.0030832490624012458,-0.0029693352212142735,-0.0030916945938630693,7.389823177175754e-05,1,0.3210704803466797,0.017298986451702594,0.03689298629760742,8.923273275468876e-05,0.8693953277218192,0.0926296999743859,370,4,2,1.6767125222477313,29,12,0.00021008788201792375,172.2470006657118,0.02620686057002656,0.18765014229417545,2,"{'colsample_bytree': 0.8693953277218192, 'learning_rate': 0.0926296999743859, 'max_bin': 370, 'max_depth': 4, 'min_child_samples': 2, 'min_child_weight': 1.6767125222477313, 'n_estimators': 29, 'num_leaves': 12, 'reg_alpha': 0.00021008788201792375, 'reg_lambda': 172.2470006657118, 'scale_pos_weight': 0.02620686057002656, 'subsample': 0.18765014229417545, 'subsample_freq': 2}"
